R. Wallace,Costa Rica
"Randall
AZOFEIFA",Costa Rica
F. Calvo,Costa Rica
C. Gamboa,Costa Rica
Y. Tejeda,Costa Rica
"Patrick
PEMBERTON",Costa Rica
K. Waston,Costa Rica
D. Guzman,Costa Rica
"Marcos
URENA",Costa Rica
"Kenner
GUTIERREZ",Costa Rica
"Leonel
MOREIRA",Costa Rica
I. Strinic,Croatia
I. Perisic,Croatia
V. corluka,Croatia
D. Lovren,Croatia
I. Rakitic,Croatia
M. Kovacic,Croatia
A. Kramaric,Croatia
L. Modric,Croatia
M. Brozovic,Croatia
L. Kalinic,Croatia
T. Jedvaj,Croatia
"Filip
BRADARIC",Croatia
D. Caletacar,Croatia
N. Kalinic,Croatia
M. Mandzukic,Croatia
A. Rebic,Croatia
M. Badelj,Croatia
M. Pjaca,Croatia
"Domagoj
VIDA",Croatia
"Josip
PIVARIC",Croatia
"Danijel
SUBASIC",Croatia
K. Schmeichel,Denmark
M. Krohn-Dehli,Denmark
J. Vestergaard,Denmark
S. Kjaer,Denmark
J. Knudsen,Denmark
A. Christiansen,Denmark
W. Kvist,Denmark
T. Delaney,Denmark
N. Jorgensen,Denmark
C. Eriksen,Denmark
M. Braithwaite,Denmark
K. Dolberg,Denmark
M. Jorgensen,Denmark
H. Dalsgaard,Denmark
V. Fischer,Denmark
J. Lossl,Denmark
J. Stryger Larsen,Denmark
L. Lerager,Denmark
L. Schone,Denmark
Y. Poulsen,Denmark
A. Cornelius,Denmark
F. Ronnow,Denmark
P. Sisto,Denmark
E. El Hadary,Egypt
A. Gabr,Egypt
A. Elmohamady,Egypt
O. Gaber,Egypt
S. Morsy,Egypt
A. Hegazy,Egypt
A. Fathi,Egypt
T. Hamed,Egypt
M. Mohsen,Egypt
M. Salah,Egypt
Kahraba,Egypt
"AYMAN
ASHRAF",Egypt
"MOHAMED
ABDELSHAFY",Egypt
"RAMADAN
SOBHY",Egypt
"MAHMOUD
HAMDY",Egypt
S. Ekramy,Egypt
M. Elneny,Egypt
Shikabala,Egypt
A. El-Said,Egypt
S. Saad,Egypt
Trezeguet,Egypt
A. Warda,Egypt
A. El-Shenawy,Egypt
J. Pickford,England
K. Walker,England
D. Rose,England
E. Dier,England
J. Stones,England
H. Maguire,England
J. Lingard,England
J. Henderson,England
H. Kane,England
R. Sterling,England
J. Vardy,England
K. Trippier,England
J. Butland,England
D. Welbeck,England
G. Cahill,England
P. Jones,England
"Fabian
DELPH",England
A. Young,England
M. Rashford,England
D. Alli,England
R. Loftus-Cheek,England
T. Alexander-Arnold,England
N. Pope,England
H. Lloris,France
B. Pavard,France
P. Kimpembe,France
R. Varane,France
S. Umtiti,France
P. Pogba,France
A. Griezmann,France
T. Lemar,France
O. Giroud,France
K. Mbappe,France
O. Dembele,France
C. Tolisso,France
N. Kante,France
B. Matuidi,France
"Steven
NZONZI",France
S. Mandanda,France
"Adil
RAMI",France
N. Fekir,France
D. Sidibe,France
F. Thauvin,France
L. Hernandez,France
B. Mendy,France
A. Areola,France
M. Neuer,Germany
M. Plattenhardt,Germany
J. Hector,Germany
M. Ginter,Germany
M. Hummels,Germany
S. Khedira,Germany
J. Draxler,Germany
T. Kroos,Germany
T. Werner,Germany
M. oezil,Germany
M. Reus,Germany
K. Trapp,Germany
T. Mueller,Germany
L. Goretzka,Germany
"SUELE
Niklas",Germany
"Antonio
RUEDIGER",Germany
J. Boateng,Germany
J. Kimmich,Germany
S. Rudy,Germany
J. Brandt,Germany
I.Guendogan,Germany
M. ter Stegen,Germany
M. Gomez,Germany
H. Halldorsson,Iceland
B. Saevarsson,Iceland
S. Fridjonsson,Iceland
A. Gudmundsson,Iceland
S. Ingason,Iceland
R. Sigurdsson,Iceland
J. Gudmundsson,Iceland
B. Bjarnason,Iceland
B. Sigurdsson,Iceland
G. Sigurdsson,Iceland
A. Finnbogason,Iceland
"Frederik
SCHRAM",Iceland
R. Runarsson,Iceland
K. Arnason,Iceland
"Holmar
EYJOLFSSON",Iceland
O. Skulason,Iceland
A. Gunnarsson,Iceland
H. Magnusson,Iceland
R. Gislason,Iceland
"Emil
HALLFREDSSON",Iceland
A. Traustason,Iceland
J. Bodvarsson,Iceland
A. Skulason,Iceland
E. Kawashima,Japan
N. Ueda,Japan
G. Shoji,Japan
K. Honda,Japan
Y. Nagatomo,Japan
W. Endo,Japan
G. Shibasaki,Japan
G. Haraguchi,Japan
S. Okazaki,Japan
S. Kagawa,Japan
T. Usami,Japan
M. Higashiguchi,Japan
Y. Muto,Japan
T. Inui,Japan
Y. Osako,Japan
H. Yamaguchi,Japan
M. Hasebe,Japan
R. Oshima,Japan
H. Sakai,Japan
T. Makino,Japan
G. Sakai,Japan
M. Yoshida,Japan
K. Nakamura,Japan
J. Corona,Mexico
H. Ayala,Mexico
C. Salcedo,Mexico
R. Marquez,Mexico
E. Gutierrez,Mexico
J. dos Santos,Mexico
M. Layun,Mexico
M. Fabian,Mexico
R. Jimenez,Mexico
G. dos Santos,Mexico
C. Vela,Mexico
"Alfredo
TALAVERA",Mexico
G. Ochoa,Mexico
J. Hernndez,Mexico
H. Moreno,Mexico
H. Herrera,Mexico
J. Corona,Mexico
A. Guardado,Mexico
O. Peralta,Mexico
J. Aquino,Mexico
E. Alvarez,Mexico
H. Lozano,Mexico
J. Gallardo,Mexico
Y. Bounou,Morocco
A. Hakimi,Morocco
H. Mendyl,Morocco
Manuel da Costa,Morocco
M. Benatia,Morocco
"Ghanem
SAISS",Morocco
H. Ziyech,Morocco
K. El Ahmadi,Morocco
K. Al Kaabi,Morocco
Y. Belhanda,Morocco
F. Fajr,Morocco
"Monir
EL KAJOUI",Morocco
"Khalid
BOUTAIB",Morocco
"Mbark
BOUSSOUFA",Morocco
"Youssef
AIT BENNASSER",Morocco
"Noureddine
AMRABAT",Morocco
N. Dirar,Morocco
A. Harit,Morocco
"Youssef
EN NESYRI",Morocco
A. Bouhaddouz,Morocco
S. Amrabat,Morocco
"Ahmed
TAGNAOUTI",Morocco
M. Carcela,Morocco
Rui ,Portugal
Bruno Alves,Portugal
Pepe,Portugal
Manuel Fernandes,Portugal
R. Guerreiro,Portugal
Jose Fonte,Portugal
Cristiano Ronaldo,Portugal
Joao Moutinho,Portugal
Andre Silva,Portugal
Joao Mario,Portugal
Bernardo Silva,Portugal
A. Lopes,Portugal
Ruben Dias,Portugal
William Carvalho,Portugal
Ricardo Ferreira,Portugal
Bruno Fernandes,Portugal
Gonalco Guedes,Portugal
Gelson Martins,Portugal
Mario Rui,Portugal
Quaresma,Portugal
Cedric,Portugal
Beto,Portugal
Adrien Silva,Portugal
De Gea,Spain
Carvajal,Spain
Pique,Spain
Nacho Fernandez,Spain
Sergio Busquets,Spain
Iniesta,Spain
Saul,Spain
Koke,Spain
RODRIGO,Spain
Thiago,Spain
Lucas Vazquez,Spain
Odriozola,Spain
Arrizabalaga,Spain
Azpilicueta,Spain
Sergio Ramos,Spain
Nacho Monreal,Spain
Iago Aspas,Spain
Jordi Alba,Spain
Diego Costa,Spain
Marco Asensio,Spain
David Silva,Spain
Isco,Spain
PEPE REINA,Spain
F. Muslera,Uruguay
J. Gimenez,Uruguay
D. Godin,Uruguay
GUILLERMO VARELA,Uruguay
CARLOS SANCHEZ,Uruguay
R. Bentancur,Uruguay
C. Rodriguez,Uruguay
N. Nandez,Uruguay
L. Suarez,Uruguay
GIORGIAN DE ARRASCAETA,Uruguay
C. Stuani,Uruguay
MARTIN CAMPANA,Uruguay
G. Silva,Uruguay
L. Torreira,Uruguay
MATIAS VECINO,Uruguay
M. Pereira,Uruguay
D. Laxalt,Uruguay
M. Gomez,Uruguay
S. Coates,Uruguay
JONATHAN URRETAVISCAYA,Uruguay
E. Cavani,Uruguay
M. Caceres,Uruguay
MARTIN SILVA,Uruguay
Y. Sommer,Switzerland
S. Lichtsteiner,Switzerland
F. Moubandje,Switzerland
N. Elvedi,Switzerland
M. Akanji,Switzerland
M. Lang,Switzerland
B. Embolo,Switzerland
R. Freuler,Switzerland
H. Seferovic,Switzerland
G. Xhaka,Switzerland
V. Behrami,Switzerland
Y. Mvogo,Switzerland
R. Rodriguez,Switzerland
S. Zuber,Switzerland
B. Dzemaili,Switzerland
Gelson Fernandes,Switzerland
D. Zakaria,Switzerland
MARIO GAVRANOVIC,Switzerland
J. Drmic,Switzerland
J. Djourou,Switzerland
R. Buerki,Switzerland
F. Schaer,Switzerland
X. Shaqiri,Switzerland
