sofifa_id,short_name,overall,age,club_name,league_name,nationality_name,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure
135190,M. Liendl,73,34,RZ Pellets Wolfsberger AC,Austrian Football Bundesliga,Austria,58,58,69,79,80,75
139313,C. Fuchs,73,34,Leicester City,English Premier League,Austria,74,76,64,67,68,72
169345,M. Suttner,73,33,FK Austria Wien,Austrian Football Bundesliga,Austria,70,70,51,65,38,72
193247,H. Lindner,73,29,FC Basel 1893,Swiss Super League,Austria,30,12,12,55,19,64
209990,R. Strebinger,73,27,SK Rapid Wien,Austrian Football Bundesliga,Austria,20,15,13,12,23,28
210489,L. Schaub,73,25,FC Luzern,Swiss Super League,Austria,60,35,67,74,64,68
221944,P. Michorl,73,25,LASK Linz,Austrian Football Bundesliga,Austria,55,71,62,76,67,75
238988,M. Ullmann,73,24,SK Rapid Wien,Austrian Football Bundesliga,Austria,71,67,59,59,74,65
177578,S. Prödl,72,33,Udinese Calcio,Italian Serie A,Austria,84,73,37,46,35,68
193264,P. Farkas,72,27,FC Red Bull Salzburg,Austrian Football Bundesliga,Austria,79,63,58,60,35,63
193584,G. Burgstaller,72,31,FC Schalke 04,German 1. Bundesliga,Austria,84,34,77,64,64,78
200433,L. Hinterseer,72,29,Hamburger SV,German 2. Bundesliga,Austria,60,33,72,66,70,70
204043,E. Dilaver,72,29,Dinamo Zagreb,Croatian Prva HNL,Austria,85,70,49,54,49,59
204904,M. Bauer,72,28,Stoke City,English League Championship,Austria,72,65,58,65,52,73
210313,T. Murg,72,25,SK Rapid Wien,Austrian Football Bundesliga,Austria,42,38,67,68,60,64
215368,R. Ranftl,72,28,LASK Linz,Austrian Football Bundesliga,Austria,71,67,64,64,51,69
216275,P. Mwene,72,26,1. FSV Mainz 05,German 1. Bundesliga,Austria,59,67,57,48,42,64
220925,A. Schöpf,72,26,FC Schalke 04,German 1. Bundesliga,Austria,64,65,71,68,64,71
231366,P. Lienhart,72,23,Sport-Club Freiburg,German 1. Bundesliga,Austria,68,70,28,46,41,57
236935,H. Wolf,72,21,Borussia Mönchengladbach,German 1. Bundesliga,Austria,54,38,70,69,65,72
239090,P. Wiesinger,72,26,LASK Linz,Austrian Football Bundesliga,Austria,72,74,56,48,37,71
239393,D. Frieser,72,26,Barnsley,English League Championship,Austria,56,43,72,64,66,69
243661,A. Vallci,72,24,FC Red Bull Salzburg,Austrian Football Bundesliga,Austria,74,70,42,52,58,61
177666,M. Harnik,71,33,SV Werder Bremen,German 1. Bundesliga,Austria,72,39,72,66,72,75
190589,S. Hierländer,71,29,SK Sturm Graz,Austrian Football Bundesliga,Austria,71,64,64,67,60,72
193277,J. Siebenhandl,71,30,SK Sturm Graz,Austrian Football Bundesliga,Austria,22,22,13,48,15,28
194017,A. Weimann,71,28,Bristol City,English League Championship,Austria,76,52,73,67,72,63
201290,R. Žulj,71,28,VfL Bochum 1848,German 2. Bundesliga,Austria,56,28,73,71,60,70
204493,R. Holzhauser,71,27,K Beerschot VA,Belgian Jupiler Pro League,Austria,69,62,68,75,77,79
204688,S. Schwab,71,29,PAOK,Greek Super League,Austria,73,66,69,73,65,68
209997,K. Wimmer,71,27,Stoke City,English League Championship,Austria,74,74,35,59,35,69
221931,P. Žulj,71,27,RSC Anderlecht,Belgian Jupiler Pro League,Austria,54,70,73,72,67,69
227497,M. Fraisl,71,27,SV Sandhausen,German 2. Bundesliga,Austria,24,26,17,23,23,24
232900,C. Monschein,71,27,FK Austria Wien,Austrian Football Bundesliga,Austria,72,10,75,62,69,63
239432,A. Grbic,71,23,FC Lorient,French Ligue 1,Austria,52,17,73,52,76,68
240916,D. Ljubicic,71,22,SK Rapid Wien,Austrian Football Bundesliga,Austria,71,69,54,61,52,58
183644,A. Grünwald,70,31,FK Austria Wien,Austrian Football Bundesliga,Austria,65,61,68,72,63,70
183795,G. Margreitter,70,31,1. FC Nürnberg,German 2. Bundesliga,Austria,75,67,26,49,23,60
194669,M. Ritzmaier,70,27,Barnsley,English League Championship,Austria,76,63,67,73,59,71
199215,A. Gorgon,70,31,Pogoń Szczecin,Polish T-Mobile Ekstraklasa,Austria,55,33,70,67,79,56
199535,M. Novak,70,29,RZ Pellets Wolfsberger AC,Austrian Football Bundesliga,Austria,69,66,58,56,44,66
200918,C. Knasmüllner,70,28,SK Rapid Wien,Austrian Football Bundesliga,Austria,55,51,65,71,74,66
216182,M. Leitgeb,70,32,RZ Pellets Wolfsberger AC,Austrian Football Bundesliga,Austria,78,67,40,58,42,72
217502,A. Kofler,70,33,RZ Pellets Wolfsberger AC,Austrian Football Bundesliga,Austria,18,9,18,34,23,26
223867,A. Gruber,70,25,LASK Linz,Austrian Football Bundesliga,Austria,63,24,69,67,72,70
227235,K. Kerschbaumer,70,28,1. FC Heidenheim 1846,German 2. Bundesliga,Austria,75,67,68,71,55,73
228505,P. Pentz,70,23,FK Austria Wien,Austrian Football Bundesliga,Austria,26,19,20,58,24,37
235673,D. Maresic,70,20,Stade de Reims,French Ligue 1,Austria,62,73,28,53,35,74
237595,M. Friedl,70,22,SV Werder Bremen,German 1. Bundesliga,Austria,75,67,55,41,45,53
237985,K. Danso,70,21,Fortuna Düsseldorf,German 2. Bundesliga,Austria,77,62,28,35,42,59
183645,C. Ramsebner,69,31,LASK Linz,Austrian Football Bundesliga,Austria,77,69,28,29,42,67
193860,T. Schick,69,30,SK Rapid Wien,Austrian Football Bundesliga,Austria,64,65,65,57,55,69
199769,M. Potzmann,69,26,LASK Linz,Austrian Football Bundesliga,Austria,64,67,63,61,53,66
201891,D. Tadić,69,30,TSV Egger Glas Hartberg,Austrian Football Bundesliga,Austria,61,44,72,68,71,67
206123,S. Savić,69,26,Wisła Kraków,Polish T-Mobile Ekstraklasa,Austria,44,30,64,67,51,52
209532,D. Bachmann,69,25,Watford,English League Championship,Austria,31,26,13,36,31,51
223676,R. Renner,69,26,LASK Linz,Austrian Football Bundesliga,Austria,73,63,60,64,55,67
223794,P. Schobesberger,69,26,SK Rapid Wien,Austrian Football Bundesliga,Austria,61,47,58,66,48,62
235419,N. Dovedan,69,25,1. FC Nürnberg,German 2. Bundesliga,Austria,50,25,68,60,53,65
239708,M. Raguž,69,22,LASK Linz,Austrian Football Bundesliga,Austria,59,21,72,64,66,63
240045,I. Ljubić,69,23,SK Sturm Graz,Austrian Football Bundesliga,Austria,63,66,65,67,60,65
241536,M. Sarkaria,69,23,FK Austria Wien,Austrian Football Bundesliga,Austria,44,37,63,67,58,61
169343,M. Madl,68,32,FK Austria Wien,Austrian Football Bundesliga,Austria,75,68,25,59,57,64
187498,J. Jantscher,68,31,SK Sturm Graz,Austrian Football Bundesliga,Austria,42,35,68,67,66,66
190592,M. Sollbauer,68,30,Barnsley,English League Championship,Austria,70,65,48,29,22,72
193272,S. Şahin-Radlinger,68,27,SV Ried,Austrian Football Bundesliga,Austria,16,12,13,45,16,51
202535,T. Röcher,68,29,FC Ingolstadt 04,German 3. Bundesliga,Austria,54,18,70,65,48,62
203315,G. Teigl,68,29,FK Austria Wien,Austrian Football Bundesliga,Austria,69,55,64,51,56,63
203850,C. Dibon,68,29,SK Rapid Wien,Austrian Football Bundesliga,Austria,65,71,39,59,39,67
208247,L. Spendlhofer,68,27,SK Sturm Graz,Austrian Football Bundesliga,Austria,69,70,36,45,64,63
208688,M. Kerhe,68,33,SV Ried,Austrian Football Bundesliga,Austria,56,65,62,64,41,65
223426,B. Zech,68,29,Pogoń Szczecin,Polish T-Mobile Ekstraklasa,Austria,65,72,39,43,35,68
232156,M. Honsak,68,23,SV Darmstadt 98,German 2. Bundesliga,Austria,58,54,67,63,41,49
234646,C. Riegler,68,28,spusu SKN St. Pölten,Austrian Football Bundesliga,Austria,22,10,7,53,16,32
235135,H. Balic,68,24,LASK Linz,Austrian Football Bundesliga,Austria,29,25,69,64,50,65
242815,D. Fitz,68,21,FK Austria Wien,Austrian Football Bundesliga,Austria,37,22,69,70,58,59
251342,B. Pichler,68,22,FK Austria Wien,Austrian Football Bundesliga,Austria,32,17,68,60,53,52
255420,E. Kara,68,24,SK Rapid Wien,Austrian Football Bundesliga,Austria,65,17,68,54,67,69
158167,M. Sonnleitner,67,33,SK Rapid Wien,Austrian Football Bundesliga,Austria,67,67,33,47,45,57
173480,A. Lienhart,67,34,TSV Egger Glas Hartberg,Austrian Football Bundesliga,Austria,66,67,58,58,42,64
188856,C. Klem,67,29,TSV Egger Glas Hartberg,Austrian Football Bundesliga,Austria,65,64,56,60,45,62
191123,D. Alar,67,30,SK Rapid Wien,Austrian Football Bundesliga,Austria,54,32,72,69,64,59
192328,P. Huspek,67,29,SK Sturm Graz,Austrian Football Bundesliga,Austria,55,23,55,51,58,60
199384,F. Koch,67,31,WSG Tirol,Austrian Football Bundesliga,Austria,64,65,56,45,36,68
199470,M. Meilinger,67,28,SC Rheindorf Altach,Austrian Football Bundesliga,Austria,46,34,58,65,62,56
200432,B. Pranter,67,30,WSG Tirol,Austrian Football Bundesliga,Austria,51,52,62,68,74,68
203615,T. Kainz,67,27,TSV Egger Glas Hartberg,Austrian Football Bundesliga,Austria,66,68,56,67,48,63
203853,M. Sax,67,27,FK Austria Wien,Austrian Football Bundesliga,Austria,68,32,62,66,66,64
204690,P. Hosiner,67,31,SG Dynamo Dresden,German 3. Bundesliga,Austria,45,18,71,59,68,68
210005,C. Martschinko,67,26,FK Austria Wien,Austrian Football Bundesliga,Austria,68,62,53,49,54,58
210476,M. Kuster,67,26,Karlsruher SC,German 2. Bundesliga,Austria,22,16,6,48,18,27
210484,A. Kuen,67,25,SK Sturm Graz,Austrian Football Bundesliga,Austria,73,58,66,71,54,63
210601,T. Ebner,67,28,FK Austria Wien,Austrian Football Bundesliga,Austria,75,69,58,64,38,66
212418,M. Lackner,67,29,SV Ried,Austrian Football Bundesliga,Austria,72,66,48,56,64,58
213301,S. Horvath,67,23,SG Dynamo Dresden,German 3. Bundesliga,Austria,61,52,56,58,53,55
215370,M. Hofmann,67,26,SK Rapid Wien,Austrian Football Bundesliga,Austria,72,65,61,37,37,62
216184,S. Nutz,67,28,SV Ried,Austrian Football Bundesliga,Austria,53,55,60,73,69,68
217730,S. Zwierschitz,67,29,FK Austria Wien,Austrian Football Bundesliga,Austria,65,66,58,45,63,57
223866,S. Lovric,67,22,FC Lugano,Swiss Super League,Austria,64,64,61,65,48,66
229817,R. Swete,67,30,TSV Egger Glas Hartberg,Austrian Football Bundesliga,Austria,44,22,11,14,21,29
229818,D. Baumgartner,67,23,RZ Pellets Wolfsberger AC,Austrian Football Bundesliga,Austria,72,66,41,35,36,53
236490,K. Arase,67,21,SK Rapid Wien,Austrian Football Bundesliga,Austria,51,31,61,57,52,55
238986,F. Luckeneder,67,26,TSV Egger Glas Hartberg,Austrian Football Bundesliga,Austria,72,70,24,29,38,63
239357,C. Gebauer,67,26,DSC Arminia Bielefeld,German 1. Bundesliga,Austria,47,55,66,57,52,59
239394,F. Flecker,67,24,FC Würzburger Kickers,German 2. Bundesliga,Austria,36,27,58,58,42,52
239476,S. Ingolitsch,67,23,SK Sturm Graz,Austrian Football Bundesliga,Austria,67,65,59,57,41,61
239701,R. Schmid,67,20,SV Werder Bremen,German 1. Bundesliga,Austria,43,56,60,69,52,65
239901,S. Kalajdžić,67,22,VfB Stuttgart,German 1. Bundesliga,Austria,39,42,64,68,41,65
244940,E. Karic,67,23,SC Rheindorf Altach,Austrian Football Bundesliga,Austria,62,61,48,56,38,59
183643,L. Königshofer,66,31,KFC Uerdingen 05,German 3. Bundesliga,Austria,35,21,12,39,11,36
183646,M. Kobras,66,34,SC Rheindorf Altach,Austrian Football Bundesliga,Austria,24,24,13,35,20,25
189237,E. Schreiner,66,31,SC Rheindorf Altach,Austrian Football Bundesliga,Austria,67,60,62,59,55,63
190597,M. Ziegl,66,27,SV Ried,Austrian Football Bundesliga,Austria,77,65,55,61,42,50
192237,Y. Pehlivan,66,31,Çaykur Rizespor,Turkish Süper Lig,Austria,71,67,43,61,44,63
199234,S. Stangl,66,28,Türkgücü München,German 3. Bundesliga,Austria,63,68,62,62,42,57
202518,C. Wernitznig,66,30,RZ Pellets Wolfsberger AC,Austrian Football Bundesliga,Austria,54,63,65,66,53,69
203848,R. Windbichler,66,29,Melbourne City FC,Australian Hyundai A-League,Austria,68,66,48,62,55,61
204922,A. Leitner,66,26,FC Flyeralarm Admira,Austrian Football Bundesliga,Austria,23,10,5,39,28,32
210482,S. Piesinger,66,28,Randers FC,Danish Superliga,Austria,70,64,55,50,45,65
210494,M. Schmerböck,66,26,RZ Pellets Wolfsberger AC,Austrian Football Bundesliga,Austria,46,42,65,60,46,64
216186,P. Zulechner,66,30,FC Erzgebirge Aue,German 2. Bundesliga,Austria,45,29,65,59,62,58
221768,J. Zwischenbrugger,66,30,SC Rheindorf Altach,Austrian Football Bundesliga,Austria,65,67,46,62,40,59
223427,L. Jäger,66,26,SK Sturm Graz,Austrian Football Bundesliga,Austria,71,69,42,54,35,58
229815,N. Antonitsch,66,28,FC Ingolstadt 04,German 3. Bundesliga,Austria,73,66,24,46,41,55
234648,M. Huber,66,30,TSV Egger Glas Hartberg,Austrian Football Bundesliga,Austria,70,67,24,35,40,64
243664,F. Rieder,66,24,WSG Tirol,Austrian Football Bundesliga,Austria,68,58,58,68,35,61
244941,M. Fischer,66,24,SC Rheindorf Altach,Austrian Football Bundesliga,Austria,62,51,61,65,68,62
246750,S. Haudum,66,25,LASK Linz,Austrian Football Bundesliga,Austria,68,65,46,58,46,64
252265,L. Ried,66,24,TSV Egger Glas Hartberg,Austrian Football Bundesliga,Austria,51,49,64,67,45,61
256548,M. Grüll,66,21,SV Ried,Austrian Football Bundesliga,Austria,32,21,63,66,66,63
257877,J. Adamu,66,19,FC Red Bull Salzburg,Austrian Football Bundesliga,Austria,48,21,63,51,72,68
107084,M. Langer,65,35,FC Schalke 04,German 1. Bundesliga,Austria,35,15,15,44,13,41
152107,P. Netzer,65,34,SC Rheindorf Altach,Austrian Football Bundesliga,Austria,73,64,40,58,35,59
181733,A. Lukse,65,32,1. FC Nürnberg,German 2. Bundesliga,Austria,22,28,15,34,24,13
189591,T. Reifeltshammer,65,31,SV Ried,Austrian Football Bundesliga,Austria,71,60,28,43,26,65
193251,C. Schösswendter,65,31,FC Flyeralarm Admira,Austrian Football Bundesliga,Austria,68,62,25,31,35,53
201038,M. Djuricin,65,27,Karlsruher SC,German 2. Bundesliga,Austria,46,31,65,60,66,64
204892,D. Schütz,65,29,spusu SKN St. Pölten,Austrian Football Bundesliga,Austria,59,37,57,55,64,64
205465,M. Pušić,65,32,TSV 1860 München,German 3. Bundesliga,Austria,79,42,66,55,63,64
207659,L. Grozurek,65,28,spusu SKN St. Pölten,Austrian Football Bundesliga,Austria,46,45,62,56,56,61
207660,D. Wydra,65,26,Eintracht Braunschweig,German 2. Bundesliga,Austria,75,62,50,54,57,56
210275,S. Rakowitz,65,30,TSV Egger Glas Hartberg,Austrian Football Bundesliga,Austria,57,57,62,65,57,59
210502,M. Kuttin,65,26,RZ Pellets Wolfsberger AC,Austrian Football Bundesliga,Austria,25,19,6,40,16,33
223214,K. Friesenbichler,65,26,SK Sturm Graz,Austrian Football Bundesliga,Austria,46,12,68,42,65,63
223429,D. Luxbacher,65,28,spusu SKN St. Pölten,Austrian Football Bundesliga,Austria,77,60,62,62,52,58
223670,M. Egho,65,26,Randers FC,Danish Superliga,Austria,57,29,66,65,59,58
226924,R. Kerschbaum,65,26,FC Flyeralarm Admira,Austrian Football Bundesliga,Austria,63,68,62,63,58,58
229733,C. Schoissengeyr,65,25,FK Austria Wien,Austrian Football Bundesliga,Austria,68,58,23,40,39,57
234651,D. Stec,65,26,Pogoń Szczecin,Polish T-Mobile Ekstraklasa,Austria,60,57,57,45,40,50
235301,P. Schmidt,65,21,Barnsley,English League Championship,Austria,32,23,63,57,61,60
236681,M. Thurnwald,65,21,SC Rheindorf Altach,Austrian Football Bundesliga,Austria,56,53,51,37,46,53
239091,L. Grgic,65,24,LASK Linz,Austrian Football Bundesliga,Austria,72,63,48,51,44,61
240481,V. Demaku,65,20,FK Austria Wien,Austrian Football Bundesliga,Austria,74,63,48,62,45,56
243442,E. Aiwu,65,19,FC Flyeralarm Admira,Austrian Football Bundesliga,Austria,68,60,44,43,34,58
243525,R. Ljubicic,65,20,spusu SKN St. Pölten,Austrian Football Bundesliga,Austria,62,69,57,63,39,65
243698,L. Meisl,65,21,SV Ried,Austrian Football Bundesliga,Austria,61,64,22,35,35,60
244491,C. Kobald,65,22,Karlsruher SC,German 2. Bundesliga,Austria,65,59,29,53,33,49
244500,F. Buchacher,65,32,WSG Tirol,Austrian Football Bundesliga,Austria,73,64,55,52,51,64
244503,H. Hankić,65,26,FC Botoşani,Romanian Liga I,Austria,14,14,5,38,15,41
253145,V. Trummer,65,20,SK Sturm Graz,Austrian Football Bundesliga,Austria,64,60,45,47,38,46
156438,T. Gebauer,64,38,LASK Linz,Austrian Football Bundesliga,Austria,37,22,9,12,22,46
159354,E. Hoffer,64,33,FC Flyeralarm Admira,Austrian Football Bundesliga,Austria,60,26,72,58,68,62
179549,S. Maierhofer,64,37,FC Flyeralarm Admira,Austrian Football Bundesliga,Austria,88,48,74,67,65,65
199440,M. Gollner,64,29,TSV Egger Glas Hartberg,Austrian Football Bundesliga,Austria,69,60,47,37,17,68
200259,M. Schimpelsberger,64,29,spusu SKN St. Pölten,Austrian Football Bundesliga,Austria,67,62,52,51,55,60
200283,M. Sutter,64,29,FC Vaduz,Swiss Super League,Austria,59,40,71,63,62,58
225955,M. Kvasina,64,23,KV Oostende,Belgian Jupiler Pro League,Austria,48,22,61,56,56,63
228058,L. Gugganig,64,25,VfL Osnabrück,German 2. Bundesliga,Austria,69,58,47,48,41,53
229508,S. Sprangler,64,25,RZ Pellets Wolfsberger AC,Austrian Football Bundesliga,Austria,68,62,52,59,40,63
237592,M. Blauensteiner,64,25,spusu SKN St. Pölten,Austrian Football Bundesliga,Austria,62,64,56,48,54,53
239501,J. Tartarotti,64,20,SC Rheindorf Altach,Austrian Football Bundesliga,Austria,62,65,57,64,46,59
239709,D. Reiter,64,22,LASK Linz,Austrian Football Bundesliga,Austria,29,14,62,59,54,50
241102,M. Lercher,64,24,SV Ried,Austrian Football Bundesliga,Austria,53,62,49,48,37,46
241924,W. Vorsager,64,23,FC Flyeralarm Admira,Austrian Football Bundesliga,Austria,64,61,49,61,50,58
242547,J. Scherzer,64,24,RZ Pellets Wolfsberger AC,Austrian Football Bundesliga,Austria,65,63,48,47,34,49
244522,M. Şatin,64,23,SV Ried,Austrian Football Bundesliga,Austria,27,48,63,59,71,63
244538,S. Bauer,64,27,FC Flyeralarm Admira,Austrian Football Bundesliga,Austria,65,64,24,30,35,44
244820,S. Gölles,64,28,TSV Egger Glas Hartberg,Austrian Football Bundesliga,Austria,64,62,48,40,38,63
247840,C. Halper,64,22,spusu SKN St. Pölten,Austrian Football Bundesliga,Austria,62,34,61,64,48,63
248470,J. Handl,64,22,FK Austria Wien,Austrian Football Bundesliga,Austria,62,56,22,41,34,52
251096,S. Hager,64,25,WSG Tirol,Austrian Football Bundesliga,Austria,64,62,30,33,37,58
251873,Y. Demir,64,17,SK Rapid Wien,Austrian Football Bundesliga,Austria,54,19,57,66,56,48
252017,F. Daniliuc,64,19,OGC Nice,French Ligue 1,Austria,63,65,48,55,31,63
252119,P. Schmiedl,64,22,SC Rheindorf Altach,Austrian Football Bundesliga,Austria,65,62,28,38,34,56
252254,L. Lukacevic,64,21,FC Flyeralarm Admira,Austrian Football Bundesliga,Austria,64,59,39,39,35,44
254566,P. Wimmer,64,19,FK Austria Wien,Austrian Football Bundesliga,Austria,60,44,57,58,52,46
256538,B. Takougnadi,64,27,SV Ried,Austrian Football Bundesliga,Austria,68,61,61,58,51,60
256539,C. Reiner,64,22,SV Ried,Austrian Football Bundesliga,Austria,70,62,35,56,27,45
256967,M. Kreuzriegler,64,26,Sandefjord Fotball,Norwegian Eliteserien,Austria,61,65,21,37,40,57
202375,D. Offenbacher,63,28,SV Ried,Austrian Football Bundesliga,Austria,72,62,60,66,64,62
203851,D. Drescher,63,30,spusu SKN St. Pölten,Austrian Football Bundesliga,Austria,74,62,25,35,31,58
210264,T. Vollnhofer,63,35,spusu SKN St. Pölten,Austrian Football Bundesliga,Austria,18,23,19,46,24,28
210474,P. Erhardt,63,26,Türkgücü München,German 3. Bundesliga,Austria,72,66,44,48,38,62
216582,D. Maderner,63,24,SC Rheindorf Altach,Austrian Football Bundesliga,Austria,62,17,65,57,73,56
219643,O. Hadžikić,63,24,FC Flyeralarm Admira,Austrian Football Bundesliga,Austria,19,21,18,35,24,27
222024,T. Casali,63,24,SC Rheindorf Altach,Austrian Football Bundesliga,Austria,19,9,5,32,13,34
222997,M. Maier,63,24,FC Flyeralarm Admira,Austrian Football Bundesliga,Austria,73,56,53,64,35,68
223868,T. Schützenauer,63,23,SK Sturm Graz,Austrian Football Bundesliga,Austria,19,16,11,33,23,34
224270,B. Gschweidl,63,24,SV Ried,Austrian Football Bundesliga,Austria,46,18,63,52,65,54
224820,L. Slišković,63,25,1. FC Magdeburg,German 3. Bundesliga,Austria,39,29,65,64,66,57
231840,V. Müller,63,21,LASK Linz,Austrian Football Bundesliga,Austria,61,62,53,68,44,61
236976,A. Muhamedbegovic,63,21,spusu SKN St. Pölten,Austrian Football Bundesliga,Austria,65,61,22,34,36,47
239410,M. Kos,63,23,FK Austria Wien,Austrian Football Bundesliga,Austria,19,13,8,26,14,25
239873,A. Sobczyk,63,23,Górnik Zabrze,Polish T-Mobile Ekstraklasa,Austria,43,22,66,49,58,55
244409,F. Faist,63,31,TSV Egger Glas Hartberg,Austrian Football Bundesliga,Austria,20,7,8,37,15,39
244415,T. Rotter,63,28,TSV Egger Glas Hartberg,Austrian Football Bundesliga,Austria,70,63,25,34,45,52
244435,J. Heil,63,23,TSV Egger Glas Hartberg,Austrian Football Bundesliga,Austria,68,62,60,61,46,57
250780,D. Gugganig,63,23,WSG Tirol,Austrian Football Bundesliga,Austria,63,59,26,35,33,56
250785,S. Santin,63,26,FC Vaduz,Swiss Super League,Austria,57,55,54,58,45,54
250813,L. Greiml,63,18,SK Rapid Wien,Austrian Football Bundesliga,Austria,69,59,48,47,41,59
251413,A. Schmidt,63,22,spusu SKN St. Pölten,Austrian Football Bundesliga,Austria,53,23,63,49,60,57
254827,N. Meister,63,20,spusu SKN St. Pölten,Austrian Football Bundesliga,Austria,53,21,60,62,58,61
256545,A. Bajic,63,24,SV Ried,Austrian Football Bundesliga,Austria,58,60,62,64,54,60
257227,M. Stefel,63,24,SC Rheindorf Altach,Austrian Football Bundesliga,Austria,51,42,61,66,64,60
257304,A. Helac,63,22,FK Austria Wien,Austrian Football Bundesliga,Austria,20,6,7,41,10,33
257618,A. Gremsl,63,25,spusu SKN St. Pölten,Austrian Football Bundesliga,Austria,29,21,8,49,17,47
257876,N. Seiwald,63,19,FC Red Bull Salzburg,Austrian Football Bundesliga,Austria,61,59,57,64,54,59
258054,M. Canadi,63,22,SV Ried,Austrian Football Bundesliga,Austria,45,29,54,62,47,53
211618,D. Starkl,62,26,FC Flyeralarm Admira,Austrian Football Bundesliga,Austria,71,23,59,54,59,48
212612,V. Grubeck,62,25,SV Ried,Austrian Football Bundesliga,Austria,30,23,63,65,64,62
220995,O. Okungbowa,62,26,VfB Lübeck,German 3. Bundesliga,Austria,70,62,55,49,45,61
225781,R. Smith,62,23,WSG Tirol,Austrian Football Bundesliga,Austria,60,61,58,62,47,57
233435,M. Maranda,62,22,spusu SKN St. Pölten,Austrian Football Bundesliga,Austria,60,58,26,30,37,49
233740,D. Nussbaumer,62,20,SC Rheindorf Altach,Austrian Football Bundesliga,Austria,56,48,55,56,58,52
234650,M. Holzmann,62,29,FC Botoşani,Romanian Liga I,Austria,64,59,58,51,33,54
235820,P. Gartler,62,23,SK Rapid Wien,Austrian Football Bundesliga,Austria,28,7,6,38,11,24
237802,C. Haas,62,27,FC Flyeralarm Admira,Austrian Football Bundesliga,Austria,24,6,8,31,16,23
